<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;30;20190103;103000;186.3700000;188.1900000;186.0000000;188.1400000;4020540
SBER;30;20190103;110000;188.1500000;188.9500000;188.0100000;188.5200000;3163190
SBER;30;20190103;113000;188.6000000;191.3000000;188.5600000;191.2000000;7640250
SBER;30;20190103;120000;191.2000000;191.5000000;190.1100000;190.2900000;2632860
SBER;30;20190103;123000;190.3100000;190.9600000;190.0200000;190.0700000;2606190
SBER;30;20190103;130000;190.0900000;190.2800000;189.1100000;189.4400000;1740440
SBER;30;20190103;133000;189.4800000;189.8700000;189.1100000;189.4100000;881920
SBER;30;20190103;140000;189.4100000;189.7700000;189.1100000;189.6700000;870070
SBER;30;20190103;143000;189.6100000;190.1000000;189.4000000;189.8900000;869340
SBER;30;20190103;150000;189.8800000;189.9200000;189.1100000;189.7000000;811530
SBER;30;20190103;153000;189.7000000;189.9300000;189.1500000;189.3600000;637200
SBER;30;20190103;160000;189.3500000;189.7000000;188.8700000;188.9900000;1212220
SBER;30;20190103;163000;189.0000000;189.8300000;188.6300000;189.6000000;1187750
SBER;30;20190103;170000;189.5300000;189.9900000;189.3800000;189.7100000;980790
SBER;30;20190103;173000;189.7700000;189.9000000;189.1000000;189.5400000;1284670
SBER;30;20190103;180000;189.5400000;189.7100000;188.2600000;188.5400000;2331630
SBER;30;20190103;183000;188.5400000;188.5400000;186.8000000;187.4800000;4635190
SBER;30;20190103;190000;187.4800000;187.4900000;186.7500000;186.9900000;2600000
SBER;30;20190104;103000;187.9900000;189.2000000;187.7700000;188.7000000;3547730
SBER;30;20190104;110000;188.6600000;189.1800000;188.0800000;188.5800000;1726370
SBER;30;20190104;113000;188.5800000;189.6700000;188.3000000;189.3900000;2758060
SBER;30;20190104;120000;189.3600000;189.8700000;188.7300000;189.7900000;2233020
SBER;30;20190104;123000;189.7600000;189.9100000;189.0100000;189.5000000;1536760
SBER;30;20190104;130000;189.5000000;190.1900000;189.2500000;189.6500000;1875140
SBER;30;20190104;133000;189.7000000;190.0200000;189.3300000;189.3900000;974850
SBER;30;20190104;140000;189.4000000;189.5300000;189.1100000;189.4500000;707490
SBER;30;20190104;143000;189.4800000;189.6800000;189.2700000;189.3100000;929710
SBER;30;20190104;150000;189.3700000;189.4000000;189.1200000;189.4000000;563730
SBER;30;20190104;153000;189.4000000;189.8500000;189.3000000;189.7300000;928780
SBER;30;20190104;160000;189.6800000;190.0600000;189.5000000;190.0600000;1160980
SBER;30;20190104;163000;190.0600000;190.3500000;189.6100000;189.9700000;1948720
SBER;30;20190104;170000;189.9900000;190.3200000;189.5000000;190.0600000;1926930
SBER;30;20190104;173000;190.0800000;190.3400000;189.8400000;190.0000000;856050
SBER;30;20190104;180000;190.0600000;190.2500000;189.6900000;190.0500000;1735790
SBER;30;20190104;183000;190.0500000;190.2000000;189.6100000;190.0400000;2654600
SBER;30;20190104;190000;190.0100000;190.9900000;189.9400000;190.9900000;4472380
SBER;30;20190108;103000;191.6600000;193.1800000;191.6400000;192.8000000;4324180
SBER;30;20190108;110000;192.8100000;192.8500000;192.1100000;192.1100000;2389130
SBER;30;20190108;113000;192.1800000;192.5400000;191.0200000;191.6400000;4359060
SBER;30;20190108;120000;191.6400000;191.9000000;190.6800000;190.7000000;2774390
SBER;30;20190108;123000;190.7200000;191.6300000;190.6200000;191.5400000;1695410
SBER;30;20190108;130000;191.5000000;191.7300000;190.8500000;190.9300000;1822410
SBER;30;20190108;133000;190.9600000;191.3900000;190.8400000;191.2900000;1213720
SBER;30;20190108;140000;191.2300000;191.8900000;191.1500000;191.7000000;2121890
SBER;30;20190108;143000;191.7000000;191.8200000;191.2300000;191.4500000;1446550
SBER;30;20190108;150000;191.3900000;191.6400000;191.0000000;191.1500000;1035710
SBER;30;20190108;153000;191.1300000;191.4900000;190.9100000;191.0500000;919660
SBER;30;20190108;160000;191.0500000;191.4500000;190.7100000;191.3100000;1878000
SBER;30;20190108;163000;191.2900000;191.4500000;191.0300000;191.1000000;628820
SBER;30;20190108;170000;191.1300000;191.3400000;190.9600000;191.2400000;664610
SBER;30;20190108;173000;191.2100000;191.4800000;190.9400000;191.0400000;873380
SBER;30;20190108;180000;191.0400000;191.4600000;190.7400000;190.9400000;3661700
SBER;30;20190108;183000;190.9300000;191.3800000;190.3700000;191.2300000;4237400
SBER;30;20190108;190000;191.2500000;191.2500000;190.8000000;191.2400000;2535930
SBER;30;20190109;103000;192.7100000;192.9300000;192.1800000;192.2300000;3572380
SBER;30;20190109;110000;192.2200000;193.4400000;192.1000000;193.2800000;3953240
SBER;30;20190109;113000;193.2900000;193.8000000;193.1200000;193.4000000;4553560
SBER;30;20190109;120000;193.4200000;194.2000000;193.1200000;194.1700000;4848900
SBER;30;20190109;123000;194.1600000;194.2200000;193.7500000;193.9900000;1806830
SBER;30;20190109;130000;194.0300000;194.7700000;193.8200000;194.6900000;3967150
SBER;30;20190109;133000;194.6900000;194.7900000;194.0300000;194.1000000;2559600
SBER;30;20190109;140000;194.1000000;194.6500000;194.0400000;194.3800000;1846850
SBER;30;20190109;143000;194.3800000;194.4500000;193.8500000;194.4100000;1892340
SBER;30;20190109;150000;194.3900000;195.4000000;194.2500000;195.2500000;6796260
SBER;30;20190109;153000;195.2500000;195.8000000;195.0000000;195.7200000;6075410
SBER;30;20190109;160000;195.7200000;195.8900000;195.4200000;195.8400000;4287250
SBER;30;20190109;163000;195.7800000;196.8900000;195.7800000;196.7100000;8792960
SBER;30;20190109;170000;196.7100000;196.8000000;196.2100000;196.4300000;4031970
SBER;30;20190109;173000;196.4200000;196.7700000;196.3500000;196.5700000;1614330
SBER;30;20190109;180000;196.5400000;197.0000000;196.4700000;196.7000000;3873470
SBER;30;20190109;183000;196.7000000;196.8900000;196.4800000;196.7200000;2730720
SBER;30;20190109;190000;196.6600000;197.0000000;196.5000000;197.0000000;3430010
SBER;30;20190110;103000;196.3000000;196.3000000;195.5100000;195.6200000;5345440
