<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;30;20190103;103000;0.0339050;0.0340950;0.0336600;0.0340900;1460160000
VTBR;30;20190103;110000;0.0340950;0.0341500;0.0340300;0.0340450;457860000
VTBR;30;20190103;113000;0.0340450;0.0341900;0.0340300;0.0341900;1101270000
VTBR;30;20190103;120000;0.0341750;0.0342000;0.0340650;0.0341300;637970000
VTBR;30;20190103;123000;0.0341250;0.0341950;0.0341000;0.0341400;131020000
VTBR;30;20190103;130000;0.0341300;0.0341900;0.0340950;0.0341150;230820000
VTBR;30;20190103;133000;0.0341450;0.0341850;0.0341000;0.0341600;351330000
VTBR;30;20190103;140000;0.0341700;0.0341750;0.0341100;0.0341250;70950000
VTBR;30;20190103;143000;0.0341200;0.0341600;0.0340750;0.0341600;149390000
VTBR;30;20190103;150000;0.0341500;0.0341850;0.0341000;0.0341850;484980000
VTBR;30;20190103;153000;0.0341700;0.0343000;0.0341550;0.0342000;770740000
VTBR;30;20190103;160000;0.0342200;0.0343350;0.0342100;0.0342700;369150000
VTBR;30;20190103;163000;0.0342650;0.0343000;0.0342050;0.0342600;281070000
VTBR;30;20190103;170000;0.0342800;0.0343600;0.0342550;0.0343050;484570000
VTBR;30;20190103;173000;0.0343200;0.0343200;0.0342000;0.0342200;345800000
VTBR;30;20190103;180000;0.0342400;0.0342400;0.0341300;0.0342100;521330000
VTBR;30;20190103;183000;0.0342100;0.0342100;0.0341050;0.0341850;539300000
VTBR;30;20190103;190000;0.0341900;0.0342100;0.0341350;0.0342100;613750000
VTBR;30;20190104;103000;0.0342450;0.0343600;0.0342200;0.0342850;870700000
VTBR;30;20190104;110000;0.0342850;0.0344200;0.0342750;0.0344050;339020000
VTBR;30;20190104;113000;0.0344100;0.0344900;0.0344000;0.0344850;985390000
VTBR;30;20190104;120000;0.0344850;0.0345550;0.0344300;0.0345250;662390000
VTBR;30;20190104;123000;0.0345200;0.0345250;0.0344450;0.0344950;560730000
VTBR;30;20190104;130000;0.0345000;0.0345400;0.0344600;0.0345100;436870000
VTBR;30;20190104;133000;0.0345100;0.0345700;0.0344800;0.0344800;280100000
VTBR;30;20190104;140000;0.0344800;0.0345250;0.0344600;0.0345250;192910000
VTBR;30;20190104;143000;0.0345250;0.0345400;0.0344900;0.0345100;284980000
