<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;30;20190103;103000;4982.0000000;4982.0000000;4886.5000000;4915.5000000;72964
LKOH;30;20190103;110000;4916.5000000;4932.5000000;4914.0000000;4919.5000000;44784
LKOH;30;20190103;113000;4919.0000000;4939.0000000;4905.5000000;4933.5000000;46954
LKOH;30;20190103;120000;4936.0000000;4938.0000000;4911.0000000;4926.5000000;33325
LKOH;30;20190103;123000;4928.5000000;4958.5000000;4928.0000000;4940.5000000;34069
LKOH;30;20190103;130000;4940.0000000;4942.5000000;4927.0000000;4931.5000000;18164
LKOH;30;20190103;133000;4932.5000000;4947.5000000;4921.5000000;4942.5000000;25080
LKOH;30;20190103;140000;4944.5000000;4950.5000000;4934.5000000;4936.0000000;18258
LKOH;30;20190103;143000;4937.0000000;4964.0000000;4932.0000000;4960.0000000;13631
LKOH;30;20190103;150000;4961.0000000;4972.0000000;4955.0000000;4971.5000000;11832
LKOH;30;20190103;153000;4970.5000000;4992.0000000;4963.0000000;4990.5000000;17415
LKOH;30;20190103;160000;4991.0000000;5026.5000000;4989.5000000;5023.0000000;39459
LKOH;30;20190103;163000;5023.0000000;5047.5000000;5017.0000000;5041.5000000;33508
LKOH;30;20190103;170000;5042.0000000;5049.5000000;5037.0000000;5046.5000000;28182
LKOH;30;20190103;173000;5047.0000000;5050.0000000;5027.5000000;5040.5000000;31558
LKOH;30;20190103;180000;5040.0000000;5042.5000000;5023.0000000;5034.5000000;38453
LKOH;30;20190103;183000;5035.0000000;5035.0000000;4982.5000000;5009.5000000;53775
LKOH;30;20190103;190000;5009.5000000;5009.5000000;4985.0000000;5007.0000000;70204
LKOH;30;20190104;103000;5024.5000000;5070.0000000;5021.0000000;5060.0000000;27229
LKOH;30;20190104;110000;5060.0000000;5070.0000000;5043.5000000;5069.5000000;19287
LKOH;30;20190104;113000;5069.0000000;5083.0000000;5042.0000000;5054.5000000;32478
LKOH;30;20190104;120000;5053.5000000;5060.5000000;5048.5000000;5055.5000000;7497
LKOH;30;20190104;123000;5057.0000000;5058.0000000;5037.5000000;5045.5000000;10307
LKOH;30;20190104;130000;5045.5000000;5074.5000000;5043.0000000;5069.0000000;13188
LKOH;30;20190104;133000;5068.0000000;5074.0000000;5056.0000000;5056.0000000;6215
LKOH;30;20190104;140000;5058.0000000;5066.0000000;5049.0000000;5060.5000000;7013
LKOH;30;20190104;143000;5059.5000000;5066.5000000;5056.5000000;5063.0000000;11153
LKOH;30;20190104;150000;5064.5000000;5067.0000000;5056.0000000;5064.0000000;6332
LKOH;30;20190104;153000;5064.0000000;5067.0000000;5049.0000000;5057.5000000;10177
LKOH;30;20190104;160000;5057.0000000;5058.5000000;5047.0000000;5055.5000000;5178
LKOH;30;20190104;163000;5054.5000000;5066.0000000;5047.0000000;5062.5000000;7343
LKOH;30;20190104;170000;5060.0000000;5068.5000000;5041.0000000;5049.0000000;27596
LKOH;30;20190104;173000;5047.5000000;5057.5000000;5043.0000000;5052.0000000;9868
LKOH;30;20190104;180000;5050.5000000;5064.0000000;5046.5000000;5049.0000000;21391
LKOH;30;20190104;183000;5049.5000000;5061.0000000;5044.5000000;5051.0000000;23703
LKOH;30;20190104;190000;5051.0000000;5074.5000000;5046.5000000;5074.5000000;104519
LKOH;30;20190108;103000;5038.5000000;5056.0000000;5014.0000000;5017.0000000;60865
LKOH;30;20190108;110000;5018.5000000;5023.0000000;5000.0000000;5009.0000000;30735
LKOH;30;20190108;113000;5010.5000000;5019.0000000;4971.5000000;4985.5000000;66596
LKOH;30;20190108;120000;4986.0000000;4998.5000000;4974.5000000;4975.5000000;31035
LKOH;30;20190108;123000;4976.5000000;5007.5000000;4975.0000000;5005.0000000;38892
LKOH;30;20190108;130000;5005.0000000;5012.5000000;4998.5000000;5003.5000000;44985
LKOH;30;20190108;133000;5003.0000000;5004.0000000;4974.5000000;4980.0000000;51359
LKOH;30;20190108;140000;4980.0000000;4982.5000000;4964.5000000;4972.0000000;61830
LKOH;30;20190108;143000;4972.5000000;5004.5000000;4971.5000000;5004.0000000;39429
LKOH;30;20190108;150000;5004.0000000;5012.0000000;4999.5000000;5007.0000000;40250
LKOH;30;20190108;153000;5007.0000000;5025.0000000;5006.0000000;5011.0000000;43872
LKOH;30;20190108;160000;5010.0000000;5021.0000000;5005.0000000;5013.5000000;45454
LKOH;30;20190108;163000;5011.5000000;5012.5000000;4992.5000000;5004.0000000;55881
LKOH;30;20190108;170000;5005.0000000;5010.5000000;4981.0000000;4998.5000000;58641
LKOH;30;20190108;173000;4998.0000000;5007.5000000;4989.5000000;4997.5000000;44797
LKOH;30;20190108;180000;4998.0000000;5010.0000000;4989.0000000;4998.0000000;83758
LKOH;30;20190108;183000;4998.5000000;5029.5000000;4985.0000000;5028.5000000;95801
LKOH;30;20190108;190000;5029.0000000;5039.0000000;5024.0000000;5039.0000000;93532
LKOH;30;20190109;103000;5049.0000000;5058.0000000;5037.5000000;5054.5000000;38448
LKOH;30;20190109;110000;5054.0000000;5060.0000000;5041.5000000;5054.0000000;54935
LKOH;30;20190109;113000;5054.5000000;5061.0000000;5030.0000000;5039.5000000;50303
LKOH;30;20190109;120000;5037.5000000;5046.5000000;5025.0000000;5036.0000000;30792
LKOH;30;20190109;123000;5034.5000000;5042.5000000;5032.5000000;5035.0000000;26441
LKOH;30;20190109;130000;5034.5000000;5063.5000000;5033.0000000;5058.5000000;51099
LKOH;30;20190109;133000;5058.0000000;5073.0000000;5055.5000000;5065.0000000;30337
LKOH;30;20190109;140000;5065.0000000;5070.0000000;5058.5000000;5066.5000000;24594
LKOH;30;20190109;143000;5066.0000000;5069.0000000;5058.0000000;5062.5000000;28715
LKOH;30;20190109;150000;5063.0000000;5071.5000000;5056.5000000;5058.0000000;29280
LKOH;30;20190109;153000;5061.0000000;5077.0000000;5057.0000000;5074.5000000;28135
LKOH;30;20190109;160000;5074.5000000;5075.0000000;5050.0000000;5063.5000000;34639
LKOH;30;20190109;163000;5066.0000000;5074.5000000;5060.0000000;5064.5000000;39398
LKOH;30;20190109;170000;5065.0000000;5071.5000000;5051.5000000;5056.0000000;48641
LKOH;30;20190109;173000;5056.5000000;5059.5000000;5050.0000000;5059.0000000;40667
LKOH;30;20190109;180000;5059.5000000;5060.5000000;5035.5000000;5042.5000000;75772
LKOH;30;20190109;183000;5042.5000000;5050.0000000;5030.0000000;5049.0000000;64287
LKOH;30;20190109;190000;5048.0000000;5060.0000000;5038.0000000;5060.0000000;123501
LKOH;30;20190110;103000;5045.0000000;5045.0000000;5020.5000000;5026.5000000;22986
LKOH;30;20190110;110000;5026.0000000;5042.0000000;5024.0000000;5035.5000000;22494
LKOH;30;20190110;113000;5036.0000000;5038.5000000;5004.0000000;5024.5000000;63912
LKOH;30;20190110;120000;5026.0000000;5033.5000000;5017.0000000;5031.0000000;35585
LKOH;30;20190110;123000;5031.5000000;5054.0000000;5030.5000000;5050.0000000;42807
LKOH;30;20190110;130000;5050.0000000;5058.5000000;5041.5000000;5058.0000000;34486
LKOH;30;20190110;133000;5056.5000000;5093.0000000;5049.0000000;5092.5000000;50931
