<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
NVTK;30;20190103;103000;1131.9000000;1131.9000000;1117.6000000;1121.5000000;31460
NVTK;30;20190103;110000;1121.5000000;1129.4000000;1121.0000000;1122.5000000;16900
NVTK;30;20190103;113000;1122.7000000;1126.8000000;1112.5000000;1117.6000000;63220
NVTK;30;20190103;120000;1117.7000000;1119.0000000;1111.4000000;1115.0000000;22340
NVTK;30;20190103;123000;1115.3000000;1118.8000000;1115.2000000;1115.2000000;20660
NVTK;30;20190103;130000;1115.2000000;1116.3000000;1112.8000000;1114.0000000;13090
NVTK;30;20190103;133000;1115.0000000;1116.1000000;1113.3000000;1114.0000000;9740
NVTK;30;20190103;140000;1114.4000000;1117.2000000;1114.4000000;1117.0000000;13520
NVTK;30;20190103;143000;1117.2000000;1122.6000000;1116.4000000;1122.1000000;45300
NVTK;30;20190103;150000;1122.1000000;1122.1000000;1118.8000000;1120.5000000;15970
NVTK;30;20190103;153000;1120.1000000;1122.2000000;1119.6000000;1120.0000000;13230
NVTK;30;20190103;160000;1120.0000000;1122.2000000;1117.7000000;1120.2000000;16960
NVTK;30;20190103;163000;1120.0000000;1123.6000000;1119.9000000;1120.0000000;30410
NVTK;30;20190103;170000;1119.9000000;1120.0000000;1116.2000000;1116.8000000;14940
NVTK;30;20190103;173000;1116.6000000;1116.9000000;1111.8000000;1115.5000000;30710
NVTK;30;20190103;180000;1116.0000000;1118.1000000;1113.2000000;1115.9000000;19910
NVTK;30;20190103;183000;1115.4000000;1115.6000000;1111.6000000;1115.6000000;16390
NVTK;30;20190103;190000;1114.8000000;1118.2000000;1111.0000000;1118.2000000;22830
NVTK;30;20190104;103000;1118.0000000;1123.3000000;1118.0000000;1122.5000000;29550
NVTK;30;20190104;110000;1122.6000000;1125.2000000;1121.0000000;1122.3000000;17970
NVTK;30;20190104;113000;1122.3000000;1129.8000000;1121.0000000;1128.9000000;71070
NVTK;30;20190104;120000;1128.9000000;1136.9000000;1128.9000000;1136.5000000;58250
NVTK;30;20190104;123000;1136.5000000;1140.8000000;1132.2000000;1138.5000000;27450
NVTK;30;20190104;130000;1138.2000000;1139.1000000;1135.1000000;1138.3000000;7760
NVTK;30;20190104;133000;1138.3000000;1138.3000000;1132.6000000;1132.9000000;13180
NVTK;30;20190104;140000;1133.0000000;1133.3000000;1129.5000000;1131.0000000;12800
NVTK;30;20190104;143000;1130.7000000;1131.5000000;1127.4000000;1129.0000000;15470
NVTK;30;20190104;150000;1128.6000000;1130.0000000;1127.2000000;1127.5000000;7330
NVTK;30;20190104;153000;1129.0000000;1129.0000000;1127.0000000;1127.9000000;4560
NVTK;30;20190104;160000;1127.6000000;1131.0000000;1127.0000000;1130.9000000;13330
NVTK;30;20190104;163000;1130.1000000;1132.0000000;1128.5000000;1132.0000000;5820
NVTK;30;20190104;170000;1132.8000000;1133.9000000;1128.2000000;1131.8000000;26630
NVTK;30;20190104;173000;1131.9000000;1134.8000000;1130.4000000;1133.0000000;11380
NVTK;30;20190104;180000;1132.1000000;1137.8000000;1131.2000000;1135.5000000;43980
NVTK;30;20190104;183000;1136.0000000;1138.3000000;1135.2000000;1137.0000000;23440
NVTK;30;20190104;190000;1137.0000000;1139.2000000;1135.8000000;1138.8000000;26420
NVTK;30;20190108;103000;1138.9000000;1138.9000000;1122.5000000;1124.8000000;61950
NVTK;30;20190108;110000;1126.0000000;1126.8000000;1122.0000000;1123.0000000;25990
NVTK;30;20190108;113000;1122.9000000;1125.6000000;1120.6000000;1122.3000000;44960
NVTK;30;20190108;120000;1122.3000000;1125.5000000;1122.0000000;1123.3000000;5480
NVTK;30;20190108;123000;1122.7000000;1126.6000000;1122.2000000;1125.8000000;11340
NVTK;30;20190108;130000;1125.5000000;1125.5000000;1120.8000000;1120.9000000;19430
NVTK;30;20190108;133000;1121.0000000;1123.0000000;1121.0000000;1122.1000000;9910
NVTK;30;20190108;140000;1122.0000000;1123.9000000;1122.0000000;1123.8000000;9710
NVTK;30;20190108;143000;1124.0000000;1124.0000000;1120.6000000;1122.3000000;14850
NVTK;30;20190108;150000;1123.1000000;1123.6000000;1119.0000000;1119.3000000;21790
NVTK;30;20190108;153000;1119.8000000;1123.1000000;1118.7000000;1123.1000000;16870
NVTK;30;20190108;160000;1121.9000000;1122.8000000;1120.1000000;1120.2000000;12750
NVTK;30;20190108;163000;1120.8000000;1122.0000000;1119.0000000;1121.4000000;13140
NVTK;30;20190108;170000;1121.4000000;1123.5000000;1120.5000000;1122.1000000;11010
NVTK;30;20190108;173000;1122.1000000;1123.2000000;1120.0000000;1122.6000000;23570
NVTK;30;20190108;180000;1122.3000000;1123.3000000;1117.3000000;1118.2000000;52650
NVTK;30;20190108;183000;1118.3000000;1121.8000000;1117.1000000;1121.0000000;89880
NVTK;30;20190108;190000;1122.0000000;1122.9000000;1118.2000000;1118.2000000;20710
NVTK;30;20190109;103000;1125.2000000;1136.3000000;1122.1000000;1131.5000000;86420
NVTK;30;20190109;110000;1131.8000000;1133.0000000;1127.6000000;1131.4000000;24860
NVTK;30;20190109;113000;1130.2000000;1131.0000000;1124.5000000;1125.8000000;33510
NVTK;30;20190109;120000;1124.9000000;1129.4000000;1122.6000000;1123.9000000;22680
NVTK;30;20190109;123000;1123.1000000;1126.0000000;1122.7000000;1126.0000000;39100
NVTK;30;20190109;130000;1126.6000000;1132.7000000;1126.6000000;1129.7000000;25560
NVTK;30;20190109;133000;1130.2000000;1131.7000000;1127.1000000;1131.0000000;14870
NVTK;30;20190109;140000;1131.0000000;1132.7000000;1130.9000000;1131.5000000;13500
NVTK;30;20190109;143000;1131.4000000;1131.8000000;1129.8000000;1130.9000000;14270
NVTK;30;20190109;150000;1130.3000000;1131.0000000;1125.6000000;1125.6000000;16260
NVTK;30;20190109;153000;1125.5000000;1128.3000000;1123.8000000;1128.0000000;13850
NVTK;30;20190109;160000;1127.9000000;1127.9000000;1122.0000000;1122.5000000;19690
NVTK;30;20190109;163000;1122.5000000;1125.0000000;1122.0000000;1122.1000000;15360
NVTK;30;20190109;170000;1122.5000000;1123.1000000;1120.2000000;1121.7000000;25290
NVTK;30;20190109;173000;1121.7000000;1121.8000000;1119.0000000;1121.1000000;16410
NVTK;30;20190109;180000;1121.8000000;1126.5000000;1120.8000000;1125.1000000;42790
NVTK;30;20190109;183000;1125.7000000;1126.5000000;1122.1000000;1125.2000000;49430
NVTK;30;20190109;190000;1124.9000000;1126.2000000;1121.0000000;1121.0000000;27450
NVTK;30;20190110;103000;1125.0000000;1125.1000000;1118.3000000;1119.5000000;22050
NVTK;30;20190110;110000;1118.8000000;1120.5000000;1116.5000000;1118.5000000;23050
NVTK;30;20190110;113000;1119.0000000;1119.6000000;1115.2000000;1117.2000000;29200
NVTK;30;20190110;120000;1117.5000000;1118.0000000;1114.1000000;1118.0000000;31410
NVTK;30;20190110;123000;1117.6000000;1121.6000000;1117.4000000;1119.5000000;16890
NVTK;30;20190110;130000;1119.9000000;1121.4000000;1118.5000000;1118.5000000;12210
NVTK;30;20190110;133000;1118.5000000;1125.3000000;1118.5000000;1123.6000000;30440
NVTK;30;20190110;140000;1123.4000000;1123.9000000;1120.9000000;1122.0000000;15610
NVTK;30;20190110;143000;1122.0000000;1122.6000000;1120.2000000;1121.2000000;4570
NVTK;30;20190110;150000;1120.6000000;1121.5000000;1119.0000000;1119.8000000;8920
NVTK;30;20190110;153000;1120.0000000;1121.4000000;1119.0000000;1119.0000000;3850
NVTK;30;20190110;160000;1118.8000000;1120.7000000;1118.8000000;1120.7000000;5840
NVTK;30;20190110;163000;1120.6000000;1124.5000000;1120.6000000;1124.0000000;20290
NVTK;30;20190110;170000;1124.0000000;1124.9000000;1123.7000000;1124.7000000;14350
NVTK;30;20190110;173000;1124.6000000;1127.7000000;1124.5000000;1127.2000000;23160
NVTK;30;20190110;180000;1127.4000000;1131.9000000;1127.4000000;1129.0000000;51420
NVTK;30;20190110;183000;1129.0000000;1132.9000000;1129.0000000;1129.4000000;63110
NVTK;30;20190110;190000;1130.0000000;1132.5000000;1129.0000000;1132.5000000;41290
NVTK;30;20190111;103000;1133.5000000;1137.7000000;1127.7000000;1128.3000000;25670
NVTK;30;20190111;110000;1128.9000000;1131.7000000;1126.6000000;1131.5000000;9320
NVTK;30;20190111;113000;1130.3000000;1134.6000000;1128.5000000;1133.7000000;26650
NVTK;30;20190111;120000;1133.6000000;1135.9000000;1130.7000000;1133.7000000;39370
NVTK;30;20190111;123000;1132.8000000;1135.5000000;1131.4000000;1132.5000000;26440
NVTK;30;20190111;130000;1133.1000000;1136.9000000;1132.4000000;1134.4000000;40250
NVTK;30;20190111;133000;1134.0000000;1135.7000000;1131.9000000;1131.9000000;15070
NVTK;30;20190111;140000;1132.1000000;1133.0000000;1128.6000000;1133.0000000;13220
NVTK;30;20190111;143000;1133.6000000;1136.3000000;1133.5000000;1135.2000000;23220
NVTK;30;20190111;150000;1135.2000000;1136.1000000;1134.5000000;1135.6000000;26190
NVTK;30;20190111;153000;1135.6000000;1137.2000000;1134.5000000;1136.8000000;24630
NVTK;30;20190111;160000;1137.0000000;1137.3000000;1133.5000000;1135.9000000;18850
