<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;30;20190103;103000;429.0000000;429.1000000;427.0000000;427.6500000;141470
ROSN;30;20190103;110000;427.6000000;429.1000000;427.1000000;427.5500000;45840
ROSN;30;20190103;113000;427.2000000;427.8000000;426.5000000;427.3000000;117870
ROSN;30;20190103;120000;427.5000000;427.7000000;425.1500000;425.9500000;118510
ROSN;30;20190103;123000;425.7000000;428.6500000;425.5000000;427.5000000;99620
ROSN;30;20190103;130000;427.5000000;428.7000000;427.3000000;427.9000000;45510
ROSN;30;20190103;133000;427.8500000;428.3000000;427.3500000;427.6500000;55850
ROSN;30;20190103;140000;427.6500000;429.1000000;427.5000000;427.9500000;59570
ROSN;30;20190103;143000;428.1500000;428.8000000;428.0000000;428.8000000;24180
ROSN;30;20190103;150000;428.8000000;428.9500000;427.9000000;428.1000000;30150
ROSN;30;20190103;153000;428.0500000;428.8500000;427.9500000;428.7000000;23090
ROSN;30;20190103;160000;428.8500000;428.9000000;428.1000000;428.7000000;36160
ROSN;30;20190103;163000;428.6000000;429.8000000;428.2500000;429.0500000;66320
ROSN;30;20190103;170000;429.0500000;429.5000000;428.6000000;429.3000000;45840
ROSN;30;20190103;173000;429.3500000;429.3500000;427.7000000;428.3500000;70740
ROSN;30;20190103;180000;428.3000000;428.6000000;426.2000000;426.8000000;88870
ROSN;30;20190103;183000;426.9000000;426.9000000;424.6500000;425.5500000;122310
ROSN;30;20190103;190000;425.4500000;425.8500000;422.4000000;425.8500000;335550
ROSN;30;20190104;103000;427.2000000;427.4000000;426.2000000;427.3500000;125110
ROSN;30;20190104;110000;427.3500000;439.0000000;426.9000000;429.6000000;234080
ROSN;30;20190104;113000;429.6000000;432.0000000;428.6000000;429.7500000;165290
ROSN;30;20190104;120000;429.9500000;431.0000000;429.0500000;430.9500000;43450
ROSN;30;20190104;123000;430.6000000;431.4000000;429.3000000;430.0000000;107100
ROSN;30;20190104;130000;430.1000000;430.5000000;428.7500000;429.6000000;44930
ROSN;30;20190104;133000;430.0000000;430.1500000;428.8500000;428.8500000;57820
ROSN;30;20190104;140000;428.8000000;429.4500000;428.3500000;428.5500000;40130
ROSN;30;20190104;143000;429.0500000;430.1000000;428.1000000;429.7000000;58680
ROSN;30;20190104;150000;430.0000000;430.3500000;429.0000000;429.1000000;45850
ROSN;30;20190104;153000;429.1500000;429.9500000;428.4500000;429.2000000;89690
ROSN;30;20190104;160000;429.4500000;429.8000000;428.9000000;429.6500000;24060
ROSN;30;20190104;163000;429.7000000;430.9500000;429.4500000;430.0000000;121660
ROSN;30;20190104;170000;430.0000000;430.7000000;429.4500000;429.8500000;140490
ROSN;30;20190104;173000;429.9500000;431.2000000;429.9500000;430.9500000;30410
ROSN;30;20190104;180000;430.8000000;431.1000000;430.0000000;430.0000000;48810
ROSN;30;20190104;183000;430.0000000;430.8000000;429.4000000;429.8500000;89650
ROSN;30;20190104;190000;430.0000000;430.4000000;429.2500000;430.4000000;166440
ROSN;30;20190108;103000;427.0000000;427.0000000;423.6000000;423.8500000;328680
ROSN;30;20190108;110000;423.9500000;424.2000000;423.2000000;423.3500000;96190
ROSN;30;20190108;113000;423.4000000;423.9000000;421.1000000;422.1000000;237610
ROSN;30;20190108;120000;422.3000000;422.3500000;421.3000000;421.7000000;76280
ROSN;30;20190108;123000;421.6500000;423.3500000;421.4000000;423.3000000;109990
ROSN;30;20190108;130000;423.2500000;423.2500000;421.4000000;421.4000000;62240
ROSN;30;20190108;133000;421.5000000;423.5000000;421.3000000;422.4000000;121310
ROSN;30;20190108;140000;422.2000000;422.6500000;421.9000000;422.5500000;38050
ROSN;30;20190108;143000;422.6500000;422.8000000;421.6000000;422.7500000;53030
ROSN;30;20190108;150000;422.7500000;422.8500000;421.6000000;422.4500000;70780
ROSN;30;20190108;153000;422.4500000;422.4500000;421.6500000;421.8500000;46950
ROSN;30;20190108;160000;421.7000000;421.8000000;421.1000000;421.4500000;80270
ROSN;30;20190108;163000;421.2500000;422.2000000;421.2000000;422.2000000;37050
ROSN;30;20190108;170000;422.2500000;422.3500000;420.6500000;421.0500000;87730
ROSN;30;20190108;173000;421.0500000;421.5500000;420.9500000;421.3500000;67390
ROSN;30;20190108;180000;421.6000000;422.9500000;421.1500000;421.9000000;199150
ROSN;30;20190108;183000;421.7500000;422.8500000;421.0000000;422.8500000;129890
ROSN;30;20190108;190000;422.9000000;423.6000000;422.8000000;423.6000000;189670
ROSN;30;20190109;103000;425.0000000;428.5500000;425.0000000;427.7500000;292580
ROSN;30;20190109;110000;427.7500000;427.8500000;426.5000000;427.3000000;43430
