<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AFLT,30,20190103,103000,101.9000000,101.9000000,100.7200000,101.0400000,151770
AFLT,30,20190103,110000,101.1200000,101.3800000,100.9200000,101.1600000,60650
AFLT,30,20190103,113000,101.0800000,101.1400000,100.8200000,101.0400000,92710
AFLT,30,20190103,120000,101.0800000,101.1400000,100.9800000,101.0800000,49230
AFLT,30,20190103,123000,101.1200000,101.5000000,101.1000000,101.3800000,68840
AFLT,30,20190103,130000,101.3600000,101.3800000,101.0800000,101.2200000,65470
AFLT,30,20190103,133000,101.2400000,101.3600000,101.0600000,101.2000000,93040
AFLT,30,20190103,140000,101.2000000,101.4000000,101.1400000,101.3600000,69540
AFLT,30,20190103,143000,101.3600000,101.3600000,101.0400000,101.1200000,98500
AFLT,30,20190103,150000,101.1600000,101.1600000,101.0200000,101.0800000,55480
AFLT,30,20190103,153000,101.0400000,101.1400000,101.0400000,101.0800000,57740
AFLT,30,20190103,160000,101.1000000,101.1200000,101.0400000,101.0600000,24930
AFLT,30,20190103,163000,101.1000000,101.3000000,100.8200000,100.9600000,302630
AFLT,30,20190103,170000,100.9600000,101.0800000,100.9400000,101.0200000,53830
AFLT,30,20190103,173000,100.9800000,101.0400000,100.8600000,100.9600000,35900
AFLT,30,20190103,180000,100.9400000,101.1200000,100.9000000,101.1000000,67080
AFLT,30,20190103,183000,101.1000000,101.2200000,101.0000000,101.1400000,241190
AFLT,30,20190103,190000,101.1400000,101.5000000,101.1000000,101.5000000,112650
AFLT,30,20190104,103000,101.6400000,101.6800000,100.8000000,101.0600000,147100
AFLT,30,20190104,110000,101.0600000,101.2400000,100.8000000,101.0000000,91120
AFLT,30,20190104,113000,101.0000000,101.2200000,100.9600000,101.2200000,44130
AFLT,30,20190104,120000,101.2200000,101.2800000,100.9600000,101.2400000,84020
AFLT,30,20190104,123000,101.2400000,101.3600000,101.1000000,101.2400000,112290
AFLT,30,20190104,130000,101.1400000,101.2200000,101.0200000,101.2000000,64920
AFLT,30,20190104,133000,101.2000000,101.2600000,101.0800000,101.0800000,38270
AFLT,30,20190104,140000,101.0800000,101.1600000,101.0000000,101.0600000,51400
AFLT,30,20190104,143000,101.0400000,101.1000000,100.9600000,101.0800000,50580
AFLT,30,20190104,150000,101.0800000,101.1400000,100.9200000,101.0800000,71680
AFLT,30,20190104,153000,101.0800000,101.1400000,100.9400000,101.0200000,45840
AFLT,30,20190104,160000,101.0400000,101.1000000,101.0000000,101.1000000,20120
AFLT,30,20190104,163000,101.1000000,101.1000000,101.0000000,101.0400000,36490
AFLT,30,20190104,170000,101.0800000,101.1000000,100.9600000,101.0600000,52610
AFLT,30,20190104,173000,101.0200000,101.1000000,100.9800000,101.0600000,45830
AFLT,30,20190104,180000,101.0600000,101.1400000,101.0000000,101.1000000,128870
AFLT,30,20190104,183000,101.1000000,101.1000000,101.0200000,101.0800000,106200
AFLT,30,20190104,190000,101.0600000,101.1000000,101.0200000,101.1000000,128860
AFLT,30,20190108,103000,101.5000000,101.8400000,100.8800000,100.8800000,188620
AFLT,30,20190108,110000,101.0200000,101.2000000,100.9200000,101.1600000,130740
AFLT,30,20190108,113000,101.1600000,101.2800000,101.0400000,101.1800000,63500
AFLT,30,20190108,120000,101.1800000,101.2800000,101.0400000,101.1400000,49000
AFLT,30,20190108,123000,101.2000000,101.2600000,101.1000000,101.1400000,41460
AFLT,30,20190108,130000,101.2000000,101.2200000,101.0000000,101.1000000,51460
AFLT,30,20190108,133000,101.1000000,101.1400000,100.9400000,101.0800000,43160
AFLT,30,20190108,140000,101.0800000,101.1200000,100.8000000,100.9800000,118200
AFLT,30,20190108,143000,100.9800000,101.0600000,100.8400000,100.9400000,51350
AFLT,30,20190108,150000,100.9600000,101.0400000,100.8600000,100.9200000,30590
AFLT,30,20190108,153000,100.9600000,100.9600000,100.8000000,100.8400000,78890
AFLT,30,20190108,160000,100.8600000,101.0800000,100.8000000,100.9600000,50900
AFLT,30,20190108,163000,100.9600000,101.0800000,100.8800000,101.0600000,23270
AFLT,30,20190108,170000,101.0600000,101.1200000,100.9800000,101.1000000,32630
AFLT,30,20190108,173000,101.1000000,101.1200000,100.9200000,101.0800000,59690
AFLT,30,20190108,180000,101.0800000,101.1200000,101.0000000,101.0400000,53050
AFLT,30,20190108,183000,101.0000000,101.1200000,101.0000000,101.0400000,104000
AFLT,30,20190108,190000,101.1000000,101.1200000,101.0000000,101.1000000,90610
AFLT,30,20190109,103000,101.1400000,101.1600000,100.8600000,101.0800000,97980
AFLT,30,20190109,110000,101.0800000,101.1000000,101.0000000,101.1000000,127640
AFLT,30,20190109,113000,101.1000000,101.1200000,101.0000000,101.1200000,101390
AFLT,30,20190109,120000,101.0800000,102.9600000,101.0400000,102.2000000,647940
AFLT,30,20190109,123000,102.2000000,102.6000000,102.1000000,102.4600000,620470
AFLT,30,20190109,130000,102.5000000,103.0600000,102.4600000,102.7800000,701840
AFLT,30,20190109,133000,102.7600000,103.1800000,102.6000000,102.6400000,402650
AFLT,30,20190109,140000,102.6400000,102.8000000,102.0600000,102.2200000,385850
AFLT,30,20190109,143000,102.2200000,102.2200000,101.7400000,101.8800000,227410
AFLT,30,20190109,150000,101.8800000,102.4000000,101.7400000,102.2200000,363780
AFLT,30,20190109,153000,102.2200000,102.6600000,102.2000000,102.5800000,133990
AFLT,30,20190109,160000,102.5800000,102.8800000,102.5600000,102.8000000,311070
AFLT,30,20190109,163000,102.8000000,102.9000000,102.8000000,102.8000000,395430
AFLT,30,20190109,170000,102.8400000,102.8600000,102.2600000,102.5000000,285100
AFLT,30,20190109,173000,102.5200000,102.7400000,102.4200000,102.6200000,97730
AFLT,30,20190109,180000,102.6200000,102.6800000,102.4400000,102.5200000,124180
AFLT,30,20190109,183000,102.5400000,102.6600000,102.4800000,102.5000000,282870
AFLT,30,20190109,190000,102.4800000,102.4800000,102.0600000,102.0600000,229220
AFLT,30,20190110,103000,102.7200000,103.7000000,102.4600000,103.1400000,925120
AFLT,30,20190110,110000,103.1400000,103.2800000,102.8800000,102.9600000,241370
AFLT,30,20190110,113000,102.9600000,103.2000000,102.8600000,103.1200000,241150
AFLT,30,20190110,120000,103.0600000,103.1600000,103.0000000,103.1000000,106050
AFLT,30,20190110,123000,103.0800000,103.3600000,103.0600000,103.2600000,104490
AFLT,30,20190110,130000,103.2400000,104.0600000,103.2400000,103.9000000,512510
AFLT,30,20190110,133000,103.8800000,104.4000000,103.6600000,104.2000000,527850
AFLT,30,20190110,140000,104.2000000,104.4800000,104.0000000,104.3200000,332610
AFLT,30,20190110,143000,104.3000000,104.6200000,104.1200000,104.5000000,307630
AFLT,30,20190110,150000,104.4800000,104.7600000,104.1200000,104.5600000,361120
AFLT,30,20190110,153000,104.6000000,105.0000000,104.3200000,104.7600000,564040
AFLT,30,20190110,160000,104.7800000,104.9600000,104.4800000,104.8000000,212980
AFLT,30,20190110,163000,104.7600000,104.8400000,104.3800000,104.4600000,157260
AFLT,30,20190110,170000,104.4000000,104.9000000,104.1400000,104.7800000,508450
AFLT,30,20190110,173000,104.8000000,104.8600000,104.5000000,104.6000000,176410
AFLT,30,20190110,180000,104.6000000,104.6200000,104.3000000,104.5800000,204230
AFLT,30,20190110,183000,104.6000000,104.9800000,104.5000000,104.8800000,256860
AFLT,30,20190110,190000,104.9200000,105.1400000,104.8800000,105.1400000,445190
AFLT,30,20190111,103000,105.0400000,105.9800000,105.0200000,105.7400000,832760
AFLT,30,20190111,110000,105.7400000,106.4000000,105.7400000,106.3800000,772470
AFLT,30,20190111,113000,106.3200000,106.5000000,106.0400000,106.3800000,695470
AFLT,30,20190111,120000,106.4000000,106.5000000,106.3600000,106.3800000,318670
AFLT,30,20190111,123000,106.3400000,106.5000000,106.3000000,106.4200000,187100
AFLT,30,20190111,130000,106.4200000,106.5000000,106.3000000,106.3400000,233520
AFLT,30,20190111,133000,106.3400000,106.4200000,106.1600000,106.2200000,149780
AFLT,30,20190111,140000,106.1600000,106.2200000,105.8800000,106.1600000,334380
AFLT,30,20190111,143000,106.1200000,106.1800000,105.6800000,106.0000000,379600
AFLT,30,20190111,150000,106.0600000,106.0800000,105.6800000,105.7600000,110510
AFLT,30,20190111,153000,105.7600000,105.8800000,105.6800000,105.6800000,113720
AFLT,30,20190111,160000,105.6800000,105.7200000,105.3400000,105.5800000,316530
AFLT,30,20190111,163000,105.5200000,105.5800000,105.2000000,105.4000000,166200
AFLT,30,20190111,170000,105.3400000,105.4000000,104.7000000,104.7600000,344280
AFLT,30,20190111,173000,104.7600000,105.1600000,104.6000000,104.9600000,235250
AFLT,30,20190111,180000,105.0000000,105.0800000,104.6000000,104.7600000,162430
AFLT,30,20190111,183000,104.7000000,105.0000000,104.6000000,104.8000000,212160
AFLT,30,20190111,190000,104.8000000,104.9400000,104.6400000,104.6600000,239940
AFLT,30,20190114,103000,104.6800000,104.9400000,103.7600000,103.9600000,457220
AFLT,30,20190114,110000,103.9600000,104.4000000,103.8000000,104.3800000,285580
AFLT,30,20190114,113000,104.3600000,104.4200000,103.8600000,103.9200000,160210
AFLT,30,20190114,120000,103.9200000,104.1600000,103.8600000,104.0400000,82510
AFLT,30,20190114,123000,104.0800000,105.4600000,104.0400000,105.4000000,319760
AFLT,30,20190114,130000,105.4400000,106.3000000,105.4400000,105.9000000,459620
AFLT,30,20190114,133000,105.9200000,106.9600000,105.7400000,106.5600000,760250
