<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FESH;30;20190103;103000;4.7600000;4.7600000;4.7600000;4.7600000;0
FESH;30;20190103;110000;4.7600000;4.7600000;4.7600000;4.7600000;0
FESH;30;20190103;113000;4.7600000;4.7600000;4.7600000;4.7600000;400
FESH;30;20190103;120000;4.7000000;4.7000000;4.7000000;4.7000000;0
FESH;30;20190103;123000;4.7000000;4.7000000;4.7000000;4.7000000;200
FESH;30;20190103;130000;4.7000000;4.7050000;4.7000000;4.7050000;2000
FESH;30;20190103;133000;4.6950000;4.6950000;4.6950000;4.6950000;0
FESH;30;20190103;140000;4.7000000;4.7000000;4.6950000;4.6950000;400
FESH;30;20190103;143000;4.6950000;4.6950000;4.6950000;4.6950000;300
FESH;30;20190103;150000;4.6950000;4.6950000;4.6950000;4.6950000;0
FESH;30;20190103;153000;4.6950000;4.6950000;4.6950000;4.6950000;0
FESH;30;20190103;160000;4.6950000;4.6950000;4.6950000;4.6950000;100
FESH;30;20190103;163000;4.6950000;4.6950000;4.6950000;4.6950000;100
FESH;30;20190103;170000;4.6950000;4.6950000;4.6950000;4.6950000;100
FESH;30;20190103;173000;4.6950000;4.7900000;4.6950000;4.7900000;2700
FESH;30;20190103;180000;4.7900000;4.7900000;4.7900000;4.7900000;0
FESH;30;20190103;183000;4.7900000;4.7900000;4.7900000;4.7900000;0
FESH;30;20190103;190000;4.7900000;4.7900000;4.7900000;4.7900000;0
FESH;30;20190104;103000;4.7900000;4.7950000;4.7900000;4.7950000;2900
FESH;30;20190104;110000;4.7000000;4.7000000;4.7000000;4.7000000;0
FESH;30;20190104;113000;4.7000000;4.7000000;4.7000000;4.7000000;0
FESH;30;20190104;120000;4.7000000;4.7000000;4.7000000;4.7000000;0
FESH;30;20190104;123000;4.7000000;4.7000000;4.7000000;4.7000000;0
FESH;30;20190104;130000;4.7000000;4.7000000;4.7000000;4.7000000;0
FESH;30;20190104;133000;4.7000000;4.7000000;4.7000000;4.7000000;0
FESH;30;20190104;140000;4.7000000;4.7000000;4.7000000;4.7000000;700
FESH;30;20190104;143000;4.7850000;4.7850000;4.7850000;4.7850000;700
FESH;30;20190104;150000;4.7900000;4.7900000;4.7900000;4.7900000;0
FESH;30;20190104;153000;4.7900000;4.7900000;4.7900000;4.7900000;200
FESH;30;20190104;160000;4.7900000;4.7900000;4.7900000;4.7900000;0
FESH;30;20190104;163000;4.7900000;4.7900000;4.7900000;4.7900000;100
FESH;30;20190104;170000;4.7900000;4.7950000;4.7900000;4.7950000;400
FESH;30;20190104;173000;4.7950000;4.7950000;4.7950000;4.7950000;1600
FESH;30;20190104;180000;4.7900000;4.7950000;4.7150000;4.7850000;1700
FESH;30;20190104;183000;4.7900000;4.7950000;4.7900000;4.7950000;400
FESH;30;20190104;190000;4.7850000;4.7850000;4.7850000;4.7850000;400
FESH;30;20190108;103000;4.6350000;4.7950000;4.6350000;4.7950000;1100
FESH;30;20190108;110000;4.7950000;4.9000000;4.7950000;4.9000000;43100
FESH;30;20190108;113000;4.9050000;5.0350000;4.9050000;5.0100000;53300
FESH;30;20190108;120000;5.0050000;5.0050000;5.0050000;5.0050000;700
FESH;30;20190108;123000;4.9600000;4.9700000;4.9050000;4.9100000;10600
FESH;30;20190108;130000;4.9250000;4.9250000;4.9250000;4.9250000;400
FESH;30;20190108;133000;4.9200000;4.9200000;4.9200000;4.9200000;100
FESH;30;20190108;140000;4.9200000;4.9200000;4.9200000;4.9200000;7700
FESH;30;20190108;143000;4.9150000;4.9150000;4.9150000;4.9150000;0
FESH;30;20190108;150000;4.9150000;4.9150000;4.9150000;4.9150000;100
FESH;30;20190108;153000;4.9150000;4.9200000;4.9150000;4.9200000;9200
FESH;30;20190108;160000;4.9950000;4.9950000;4.9950000;4.9950000;0
FESH;30;20190108;163000;4.9950000;4.9950000;4.9950000;4.9950000;0
FESH;30;20190108;170000;4.9950000;4.9950000;4.9950000;4.9950000;0
FESH;30;20190108;173000;4.9950000;4.9950000;4.9950000;4.9950000;0
FESH;30;20190108;180000;4.9950000;4.9950000;4.9950000;4.9950000;0
FESH;30;20190108;183000;4.9950000;4.9950000;4.9950000;4.9950000;0
FESH;30;20190108;190000;4.9650000;4.9950000;4.9650000;4.9950000;400
FESH;30;20190109;103000;5.0350000;5.0350000;5.0050000;5.0050000;1700
FESH;30;20190109;110000;4.9300000;4.9300000;4.9300000;4.9300000;0
FESH;30;20190109;113000;4.9500000;4.9500000;4.9200000;4.9300000;15800
FESH;30;20190109;120000;4.9950000;4.9950000;4.9950000;4.9950000;200
FESH;30;20190109;123000;4.9950000;4.9950000;4.9950000;4.9950000;100
FESH;30;20190109;130000;5.0000000;5.0000000;5.0000000;5.0000000;100
FESH;30;20190109;133000;4.9350000;4.9350000;4.9300000;4.9300000;500
FESH;30;20190109;140000;5.0200000;5.0200000;5.0200000;5.0200000;0
FESH;30;20190109;143000;5.0200000;5.0200000;5.0200000;5.0200000;0
FESH;30;20190109;150000;5.0200000;5.0200000;5.0200000;5.0200000;0
FESH;30;20190109;153000;5.0200000;5.0200000;5.0200000;5.0200000;0
FESH;30;20190109;160000;4.9900000;5.0200000;4.9900000;5.0200000;19300
FESH;30;20190109;163000;4.9450000;4.9450000;4.9450000;4.9450000;100
FESH;30;20190109;170000;5.0050000;5.0050000;5.0050000;5.0050000;0
FESH;30;20190109;173000;5.0050000;5.0050000;5.0050000;5.0050000;0
FESH;30;20190109;180000;5.0050000;5.0050000;5.0050000;5.0050000;0
FESH;30;20190109;183000;4.9550000;5.0050000;4.9550000;5.0050000;1700
FESH;30;20190109;190000;5.0050000;5.0050000;5.0050000;5.0050000;0
FESH;30;20190110;103000;4.9150000;5.0200000;4.9100000;5.0200000;2100
FESH;30;20190110;110000;5.0100000;5.0100000;5.0100000;5.0100000;0
FESH;30;20190110;113000;5.0100000;5.0100000;5.0100000;5.0100000;0
FESH;30;20190110;120000;5.0100000;5.0100000;5.0100000;5.0100000;0
FESH;30;20190110;123000;5.0100000;5.0100000;5.0100000;5.0100000;0
FESH;30;20190110;130000;5.0100000;5.0100000;5.0100000;5.0100000;1900
FESH;30;20190110;133000;5.0500000;5.0500000;5.0500000;5.0500000;0
FESH;30;20190110;140000;5.0100000;5.0500000;5.0100000;5.0500000;21400
FESH;30;20190110;143000;5.0400000;5.0400000;5.0400000;5.0400000;0
FESH;30;20190110;150000;5.0400000;5.0400000;5.0400000;5.0400000;100
FESH;30;20190110;153000;5.0750000;5.0750000;5.0750000;5.0750000;100
FESH;30;20190110;160000;5.0800000;5.0800000;5.0800000;5.0800000;100
FESH;30;20190110;163000;5.0400000;5.1450000;5.0400000;5.1450000;27200
FESH;30;20190110;170000;5.1800000;5.1800000;5.1800000;5.1800000;0
FESH;30;20190110;173000;5.1500000;5.1800000;5.1500000;5.1800000;700
FESH;30;20190110;180000;5.1600000;5.1600000;5.1600000;5.1600000;0
FESH;30;20190110;183000;5.1600000;5.1600000;5.1600000;5.1600000;8700
FESH;30;20190110;190000;5.0700000;5.1600000;5.0050000;5.1600000;6600
FESH;30;20190111;103000;5.1550000;5.2000000;5.1550000;5.2000000;7000
FESH;30;20190111;110000;5.2000000;5.2150000;5.1800000;5.1800000;7700
FESH;30;20190111;113000;5.1800000;5.1800000;5.1800000;5.1800000;5000
FESH;30;20190111;120000;5.2050000;5.2050000;5.2050000;5.2050000;500
FESH;30;20190111;123000;5.1800000;5.2500000;5.1800000;5.2500000;36100
FESH;30;20190111;130000;5.2850000;5.3200000;5.2850000;5.3200000;8300
FESH;30;20190111;133000;5.3200000;5.3200000;5.3200000;5.3200000;500
FESH;30;20190111;140000;5.3450000;5.3550000;5.3450000;5.3450000;4300
FESH;30;20190111;143000;5.2600000;5.3500000;5.2600000;5.2600000;9300
FESH;30;20190111;150000;5.2500000;5.2500000;5.2500000;5.2500000;0
FESH;30;20190111;153000;5.2550000;5.2900000;5.2500000;5.2500000;13400
FESH;30;20190111;160000;5.2850000;5.3500000;5.2800000;5.3500000;73800
FESH;30;20190111;163000;5.3300000;5.3300000;5.3300000;5.3300000;0
FESH;30;20190111;170000;5.3300000;5.3300000;5.3300000;5.3300000;100
FESH;30;20190111;173000;5.2500000;5.2500000;5.2500000;5.2500000;700
FESH;30;20190111;180000;5.3200000;5.3200000;5.3200000;5.3200000;200
FESH;30;20190111;183000;5.2500000;5.3000000;5.2500000;5.2500000;4000
FESH;30;20190111;190000;5.2050000;5.3150000;5.2050000;5.2050000;9500
FESH;30;20190114;103000;5.1650000;5.1650000;5.1650000;5.1650000;0
FESH;30;20190114;110000;5.1650000;5.1650000;5.1650000;5.1650000;100
FESH;30;20190114;113000;5.2050000;5.2050000;5.2050000;5.2050000;0
FESH;30;20190114;120000;5.1950000;5.2750000;5.1700000;5.2050000;5700
FESH;30;20190114;123000;5.2500000;5.2950000;5.2500000;5.2950000;47000
FESH;30;20190114;130000;5.2550000;5.2550000;5.2550000;5.2550000;300
FESH;30;20190114;133000;5.2550000;5.2550000;5.2500000;5.2500000;5500
FESH;30;20190114;140000;5.2900000;5.3150000;5.2900000;5.3150000;12100
FESH;30;20190114;143000;5.3250000;5.3250000;5.3250000;5.3250000;0
FESH;30;20190114;150000;5.3250000;5.3250000;5.3250000;5.3250000;0
FESH;30;20190114;153000;5.3250000;5.3250000;5.3250000;5.3250000;0
FESH;30;20190114;160000;5.3250000;5.3250000;5.3250000;5.3250000;0
FESH;30;20190114;163000;5.3250000;5.3250000;5.3250000;5.3250000;100
FESH;30;20190114;170000;5.3500000;5.3500000;5.3500000;5.3500000;0
FESH;30;20190114;173000;5.3200000;5.3500000;5.2500000;5.3500000;16700
FESH;30;20190114;180000;5.3450000;5.3450000;5.3450000;5.3450000;100
FESH;30;20190114;183000;5.3000000;5.3000000;5.3000000;5.3000000;400
FESH;30;20190114;190000;5.3000000;5.3000000;5.3000000;5.3000000;0
FESH;30;20190115;103000;5.2950000;5.3250000;5.2950000;5.3250000;2300
FESH;30;20190115;110000;5.3300000;5.3300000;5.3300000;5.3300000;0
FESH;30;20190115;113000;5.3300000;5.3300000;5.3300000;5.3300000;0
FESH;30;20190115;120000;5.3250000;5.3300000;5.3250000;5.3300000;5000
FESH;30;20190115;123000;5.3200000;5.3200000;5.3200000;5.3200000;400
FESH;30;20190115;130000;5.2300000;5.2300000;5.2300000;5.2300000;0
FESH;30;20190115;133000;5.2300000;5.2300000;5.2300000;5.2300000;0
FESH;30;20190115;140000;5.2300000;5.2300000;5.2300000;5.2300000;0
FESH;30;20190115;143000;5.2300000;5.2300000;5.2300000;5.2300000;0
FESH;30;20190115;150000;5.2300000;5.2300000;5.2300000;5.2300000;0
FESH;30;20190115;153000;5.2300000;5.2300000;5.2150000;5.2300000;2300
FESH;30;20190115;160000;5.2850000;5.2850000;5.2850000;5.2850000;0
FESH;30;20190115;163000;5.2850000;5.2850000;5.2850000;5.2850000;100
FESH;30;20190115;170000;5.1600000;5.1600000;5.1600000;5.1600000;0
FESH;30;20190115;173000;5.2200000;5.2200000;5.1600000;5.1600000;9700
FESH;30;20190115;180000;5.1650000;5.1650000;5.1650000;5.1650000;400
FESH;30;20190115;183000;5.1550000;5.1550000;5.1550000;5.1550000;6600
FESH;30;20190115;190000;5.1950000;5.1950000;5.1950000;5.1950000;2100
FESH;30;20190116;103000;5.1500000;5.1500000;5.1000000;5.1000000;3000
FESH;30;20190116;110000;5.1350000;5.1350000;5.1350000;5.1350000;600
FESH;30;20190116;113000;5.1500000;5.1500000;5.1500000;5.1500000;0
FESH;30;20190116;120000;5.1500000;5.1500000;5.1500000;5.1500000;500
FESH;30;20190116;123000;5.1500000;5.1500000;5.1500000;5.1500000;200
FESH;30;20190116;130000;5.1500000;5.1500000;5.1500000;5.1500000;0
FESH;30;20190116;133000;5.1500000;5.1500000;5.1500000;5.1500000;0
FESH;30;20190116;140000;5.1500000;5.1500000;5.1500000;5.1500000;4400
FESH;30;20190116;143000;5.1900000;5.2000000;5.1400000;5.2000000;11100
FESH;30;20190116;150000;5.2350000;5.2350000;5.2350000;5.2350000;400
FESH;30;20190116;153000;5.2300000;5.2400000;5.2300000;5.2400000;25700
FESH;30;20190116;160000;5.2500000;5.2500000;5.2350000;5.2350000;600
FESH;30;20190116;163000;5.3000000;5.3000000;5.3000000;5.3000000;0
FESH;30;20190116;170000;5.2550000;5.3000000;5.2450000;5.3000000;2500
FESH;30;20190116;173000;5.2500000;5.3100000;5.2500000;5.3100000;1300
FESH;30;20190116;180000;5.3150000;5.4500000;5.3150000;5.4500000;30400
FESH;30;20190116;183000;5.4000000;5.4000000;5.3800000;5.3950000;7200
FESH;30;20190116;190000;5.4000000;5.4100000;5.4000000;5.4100000;7400
FESH;30;20190117;103000;5.4600000;5.9250000;5.3800000;5.4650000;41600
FESH;30;20190117;110000;5.4100000;5.4100000;5.4050000;5.4050000;300
FESH;30;20190117;113000;5.4050000;5.4050000;5.3500000;5.3500000;10200
FESH;30;20190117;120000;5.4650000;5.4650000;5.4650000;5.4650000;0
FESH;30;20190117;123000;5.4550000;5.4650000;5.4550000;5.4650000;3700
FESH;30;20190117;130000;5.4650000;5.4650000;5.4650000;5.4650000;1700
FESH;30;20190117;133000;5.4650000;5.4700000;5.4650000;5.4700000;2000
FESH;30;20190117;140000;5.4050000;5.4050000;5.4050000;5.4050000;600
FESH;30;20190117;143000;5.4100000;5.4100000;5.4100000;5.4100000;0
FESH;30;20190117;150000;5.4100000;5.4100000;5.4100000;5.4100000;0
FESH;30;20190117;153000;5.4100000;5.4100000;5.4100000;5.4100000;1000
FESH;30;20190117;160000;5.4450000;5.4450000;5.4450000;5.4450000;200
FESH;30;20190117;163000;5.4350000;5.4350000;5.4350000;5.4350000;0
FESH;30;20190117;170000;5.4350000;5.4350000;5.4350000;5.4350000;0
FESH;30;20190117;173000;5.4350000;5.4350000;5.4350000;5.4350000;0
FESH;30;20190117;180000;5.4100000;5.4350000;5.4100000;5.4350000;1200
FESH;30;20190117;183000;5.4100000;5.4250000;5.4050000;5.4250000;2100
FESH;30;20190117;190000;5.4350000;5.4350000;5.4350000;5.4350000;100
FESH;30;20190118;103000;5.4600000;5.4600000;5.4600000;5.4600000;0
FESH;30;20190118;110000;5.4600000;5.4600000;5.4600000;5.4600000;0
FESH;30;20190118;113000;5.4600000;5.4750000;5.4600000;5.4750000;4100
FESH;30;20190118;120000;5.3850000;5.3850000;5.3850000;5.3850000;0
FESH;30;20190118;123000;5.4850000;5.5000000;5.3850000;5.3850000;6100
FESH;30;20190118;130000;5.4600000;5.4600000;5.4600000;5.4600000;400
FESH;30;20190118;133000;5.4600000;5.4600000;5.4600000;5.4600000;100
FESH;30;20190118;140000;5.4450000;5.4650000;5.4400000;5.4650000;2400
FESH;30;20190118;143000;5.4550000;5.4550000;5.4550000;5.4550000;200
FESH;30;20190118;150000;5.4650000;5.4650000;5.4650000;5.4650000;100
FESH;30;20190118;153000;5.3850000;5.3850000;5.3850000;5.3850000;100
FESH;30;20190118;160000;5.3900000;5.3900000;5.3500000;5.3500000;27000
FESH;30;20190118;163000;5.3550000;5.4300000;5.3500000;5.3500000;26300
FESH;30;20190118;170000;5.3100000;5.3100000;5.2700000;5.2700000;2000
FESH;30;20190118;173000;5.3350000;5.3350000;5.3350000;5.3350000;0
