BaseMean,BaseStd,MixParams,logisticregression__C,logisticregression__fit_intercept
0.48,0.16309506430300091,-0.10000000000000003,0.125,True
0.48,0.16309506430300091,-0.2,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.2,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.10000000000000003,0.125,True
0.48,0.16309506430300091,-0.10000000000000003,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.10000000000000003,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.10000000000000003,0.125,True
0.48,0.16309506430300091,-0.10000000000000003,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.2,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.19999999999999996,0.125,True
0.48,0.16309506430300091,-0.29999999999999993,0.125,True
0.48,0.16309506430300091,-0.09999999999999998,0.125,True
0.48,0.16309506430300091,-0.19999999999999996,0.125,True
0.48,0.16309506430300091,-0.29999999999999993,0.125,True
0.48,0.16309506430300091,-0.29999999999999993,0.125,True
0.48,0.16309506430300091,0.10000000000000003,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.19999999999999996,0.125,True
0.48,0.16309506430300091,-0.19999999999999996,0.125,True
0.48,0.16309506430300091,0.10000000000000003,0.125,True
0.48,0.16309506430300091,0.10000000000000003,0.125,True
0.48,0.16309506430300091,-0.29999999999999993,0.125,True
0.48,0.16309506430300091,-0.19999999999999996,0.125,True
0.48,0.16309506430300091,-0.29999999999999993,0.125,True
0.48,0.16309506430300091,0.10000000000000003,0.125,True
0.48,0.16309506430300091,0.10000000000000003,0.125,True
0.48,0.16309506430300091,-0.29999999999999993,0.125,True
0.48,0.16309506430300091,0.10000000000000003,0.125,True
0.48,0.16309506430300091,-0.19999999999999996,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.6000000000000001,0.125,True
0.48,0.16309506430300091,-0.6000000000000001,0.125,True
0.48,0.16309506430300091,-0.6000000000000001,0.125,True
0.48,0.16309506430300091,-0.3,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.6000000000000001,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.6000000000000001,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,-0.5,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.2,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.2,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.2,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.09999999999999998,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.2,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.2,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.2,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.3,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.3,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.3,0.125,True
0.48,0.16309506430300091,-0.3,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.39999999999999997,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.10000000000000003,0.125,True
0.48,0.16309506430300091,-0.10000000000000003,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.09999999999999998,0.125,True
0.48,0.16309506430300091,0.09999999999999998,0.125,True
0.48,0.16309506430300091,-0.3,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,-0.39999999999999997,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.09999999999999998,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
0.48,0.16309506430300091,0.0,0.125,True
