BaseMean,BaseStd,MixParams,elmc__n_out,elmc__C,elmc__activation
0.495,0.14991664350564948,-0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,-0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,0.0,550,8,sigmoid
0.495,0.14991664350564948,0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,-0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,-0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,-0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,-0.19999999999999996,550,8,sigmoid
0.495,0.14991664350564948,0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,-0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,0.2,550,8,sigmoid
0.495,0.14991664350564948,0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,-0.30000000000000004,550,8,sigmoid
0.495,0.14991664350564948,0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,-0.20000000000000007,550,8,sigmoid
0.495,0.14991664350564948,0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,-0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,-0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,0.3,550,8,sigmoid
0.495,0.14991664350564948,0.09999999999999998,550,8,sigmoid
0.495,0.14991664350564948,0.3,550,8,sigmoid
0.495,0.14991664350564948,0.3,550,8,sigmoid
0.495,0.14991664350564948,0.19999999999999996,550,8,sigmoid
0.495,0.14991664350564948,0.19999999999999996,550,8,sigmoid
0.495,0.14991664350564948,0.0,550,8,sigmoid
0.495,0.14991664350564948,-0.20000000000000007,550,8,sigmoid
